,gini
school_5min,0.940193742129226
school_15min,0.813843590574315
health_5min,0.9731384852307541
health_15min,0.8491916909589137
transit_5min,0.7770467471352516
transit_15min,0.5143639561834611
park_5min,0.9796356527148316
park_15min,0.8837707695793273
commercial_5min,0.9588687246471258
commercial_15min,0.8543810685228951
fps_5min,0.8918758650517028
fps_15min,0.6883002493341938
pharmacy_5min,0.9597193129451194
pharmacy_15min,0.8175544769528199
supermarket_5min,0.9333145286924777
supermarket_15min,0.7409348336034554
playground_5min,0.9639611119972842
playground_15min,0.8057867798400757
library_5min,0.9919993984510114
library_15min,0.9454893555875323
cultural_5min,0.9814173998044966
cultural_15min,0.888884593585434
